epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1256.91,0.50246,0.4051,0.87723,0.96737,0.82901,0.91304,0.81063,0.50205,0.52807,0.89034,0.000570043,0.000570043,0.000570043
45,1285.72,0.49137,0.41222,0.87462,0.96006,0.8854,0.93024,0.82382,0.524,0.47653,0.90606,0.000560044,0.000560044,0.000560044
46,1314.64,0.50452,0.40066,0.88165,1,0.86326,0.92497,0.82886,0.50141,0.46568,0.89749,0.000550045,0.000550045,0.000550045
47,1343.27,0.49409,0.39241,0.87933,0.9698,0.88212,0.92885,0.84429,0.48891,0.44859,0.8932,0.000540046,0.000540046,0.000540046
48,1371.64,0.46902,0.38849,0.8618,0.95632,0.88136,0.92859,0.84182,0.50307,0.45838,0.89486,0.000530047,0.000530047,0.000530047
49,1399.76,0.48699,0.39146,0.86336,0.98876,0.84629,0.91809,0.82192,0.49528,0.45666,0.8848,0.000520048,0.000520048,0.000520048
50,1428.35,0.4531,0.36317,0.8593,0.93665,0.89191,0.92444,0.83599,0.49377,0.46451,0.89018,0.000510049,0.000510049,0.000510049
51,1456.67,0.46171,0.38312,0.86489,0.96692,0.89045,0.92877,0.83917,0.50603,0.46076,0.89705,0.00050005,0.00050005,0.00050005
52,1484.04,0.46066,0.37026,0.8569,0.98602,0.87419,0.92802,0.83437,0.49671,0.44598,0.89046,0.000490051,0.000490051,0.000490051
53,1511.44,0.45633,0.36489,0.85865,0.96916,0.90324,0.92954,0.83216,0.47287,0.44574,0.88309,0.000480052,0.000480052,0.000480052
54,1538.69,0.44228,0.35678,0.85781,0.98629,0.88769,0.93011,0.8418,0.46198,0.4222,0.8728,0.000470053,0.000470053,0.000470053
55,1566.23,0.45027,0.36069,0.85279,0.97902,0.8841,0.92934,0.83847,0.46203,0.42992,0.87729,0.000460054,0.000460054,0.000460054
56,1593.67,0.43811,0.34657,0.85477,0.97278,0.89284,0.92883,0.84368,0.46133,0.41031,0.87308,0.000450055,0.000450055,0.000450055
57,1621.18,0.43841,0.35291,0.8477,0.96396,0.90858,0.93055,0.85058,0.44415,0.40272,0.86313,0.000440056,0.000440056,0.000440056
58,1649.59,0.42551,0.33766,0.84784,0.9928,0.89856,0.93715,0.84595,0.48002,0.40783,0.89101,0.000430057,0.000430057,0.000430057
59,1679.43,0.42756,0.33829,0.84237,0.97369,0.89668,0.92737,0.84163,0.46429,0.40625,0.87973,0.000420058,0.000420058,0.000420058
